id;earthquake;M0 (seismic moment, Nm);a (radius, m);?? (stress drop, Pa);Er (radiated energy, J);tau i (Pa);type of energy;value (J/m^2);type of slip;value (m);Reference M0, a;Reference Er;Reference slip, G';Collection;Note;Type of seismic event
;;1218000000;17.792818;94600;1424;;G';0.499338617;slip;4.0842E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;453000000;20.24072757;23900;82;;G';0.076526487;slip;1.1738E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;40000000;16.93993928;3600;167;;G';-0.182673893;slip;1.47974E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;196000000;18.42911672;13700;31;;G';0.012896423;slip;6.12627E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;878000000;17.78350207;68300;857;;G';0.143455945;slip;2.9472E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;2672000000;19.89727199;148400;2746;;G';3.107273669;slip;7.16471E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;2688000000;17.59482263;215900;5068;;G';4.736592959;slip;9.2174E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;1510000000;22.51259095;57900;1326;;G';0.082411475;slip;3.16282E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;222000000;21.62817789;9600;25;;G';0.007162196;slip;5.03805E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;519000000;17.56482379;41900;129;;G';0.240962094;slip;1.78578E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;432000000;17.90971337;32900;147;;G';0.089239298;slip;1.42974E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;525000000;18.23193303;37900;83;;G';0.238204364;slip;1.67665E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;577000000;17.52509346;46900;321;;G';0.134823437;slip;1.99436E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;255000000;17.85476159;19600;33;;G';0.050249324;slip;8.49144E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;442000000;16.99422517;39400;108;;G';0.200968138;slip;1.62468E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;282000000;22.25032613;11200;22;;G';0.019709988;slip;6.0468E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;237000000;18.02676148;17700;53;;G';0.016577038;slip;7.74216E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;603000000;16.36438265;60200;471;;G';0.159370636;slip;2.39038E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;723000000;18.21957415;52300;130;;G';0.479899855;slip;2.31212E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;318000000;17.6506845;25300;49;;G';0.086981275;slip;1.08356E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;768000000;17.01577108;68200;663;;G';0.230942386;slip;2.81583E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;263000000;21.36406708;11800;381;;G';-0.229754191;slip;6.11698E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;276000000;18.89490457;17900;39;;G';0.038660712;slip;8.2067E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;377000000;19.36858305;22700;88;;G';0.046378757;slip;1.06683E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;758000000;18.20098358;55000;149;;G';0.524735794;slip;2.42901E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;746000000;18.23804165;53800;154;;G';0.493001322;slip;2.38085E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;138000000;18.33202142;9800;24;;G';-0.001383574;slip;4.35921E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;200000000;20.8887414;9600;45;;G';-0.009488316;slip;4.8658E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;590000000;17.60582211;47300;130;;G';0.34431327;slip;2.02064E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;332000000;17.74383939;26000;66;;G';0.078763814;slip;1.11942E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;230000000;19.16269638;14300;40;;G';0.012850133;slip;6.64911E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;184000000;18.13373942;13500;34;;G';0.007166834;slip;5.94008E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;4103000000;18.26689609;294500;15050;;G';4.856954564;slip;0.000130533;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;767000000;17.64320189;61100;567;;G';0.21900521;slip;2.61571E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;488000000;19.8492946;27300;159;;G';0.050956126;slip;1.31486E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;699000000;19.20099917;43200;350;;G';0.132406159;slip;2.0127E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;4286000000;21.81578405;180600;8192;;G';3.150971524;slip;9.56004E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;1209000000;16.81265874;111300;1798;;G';0.501025468;slip;4.54049E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;1721000000;16.17562214;177900;2124;;G';3.625639401;slip;6.98245E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;1.43139E+11;21.93298729;5935300;6856210;;G';4834.996954;slip;0.003158723;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;280000000;16.96240607;25100;120;;G';-0.003173019;slip;1.03308E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;471000000;13.88963633;76900;477;;G';0.209095762;slip;2.59172E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;1033000000;16.74238652;96300;807;;G';0.966823776;slip;3.91214E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;454000000;16.97602315;40600;178;;G';0.142785253;slip;1.67237E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;606000000;14.76897251;82300;594;;G';0.346369304;slip;2.94931E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;623000000;14.78113848;84400;569;;G';0.448014952;slip;3.02706E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;278000000;15.78900605;30900;404;;G';-0.333210218;slip;1.18382E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;344000000;16.53347294;33300;216;;G';-0.029219293;slip;1.33592E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;193000000;15.80182318;21400;38;;G';0.039329949;slip;8.20525E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;106000000;17.81653957;8200;8;;G';0.006507965;slip;3.54493E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;280000000;17.67099639;22200;56;;G';0.048546199;slip;9.51886E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;144000000;20.23837564;7600;6;;G';0.009517009;slip;3.73216E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;153000000;18.3688476;10800;8;;G';0.01844298;slip;4.81367E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;64000000;16.90090702;5800;4;;G';0.002437996;slip;2.37853E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;70000000;18.0588844;5200;3;;G';0.002994712;slip;2.27859E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;110000000;18.03788568;8200;9;;G';0.005905496;slip;3.58898E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;102000000;18.54214885;7000;5;;G';0.006391449;slip;3.14941E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;296000000;21.24770363;13500;21;;G';0.032167047;slip;6.96012E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;276000000;12.99695105;55000;55;;G';0.373295346;slip;1.7345E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;137000000;20.36167144;7100;926;;G';-0.698849831;slip;3.50786E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;150000000;18.91323683;9700;9;;G';0.013577146;slip;4.45152E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;348000000;20.0816696;18800;74;;G';0.027671635;slip;9.1607E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;159000000;18.4367373;11100;9;;G';0.019127209;slip;4.96567E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;2073000000;25.13701767;57100;1636;;G';0.169754533;slip;3.48274E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;246000000;18.32138799;17500;20;;G';0.049098018;slip;7.77978E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;130000000;19.2284292;8000;4;;G';0.011484748;slip;3.73254E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;154000000;19.56224781;9000;9;;G';0.011734159;slip;4.27201E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;263000000;19.94597489;14500;15;;G';0.03887081;slip;7.01769E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;246000000;20.38777418;12700;25;;G';0.020740488;slip;6.28267E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;109000000;17.91054582;8300;10;;G';0.005041664;slip;3.6071E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;107000000;17.87239116;8200;8;;G';0.006603613;slip;3.55605E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;126000000;18.50446145;8700;11;;G';0.006761637;slip;3.90631E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;179000000;17.2714646;15200;16;;G';0.03133075;slip;6.37006E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;109000000;20.42077293;5600;5;;G';0.003950904;slip;2.7748E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;78000000;16.87607462;7100;4;;G';0.005848294;slip;2.90737E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;261000000;19.98760887;14300;17;;G';0.036035881;slip;6.93534E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;152000000;19.19690713;9400;8;;G';0.01366568;slip;4.37855E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;107000000;19.31150672;6500;4;;G';0.006482987;slip;3.04579E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;127000000;19.85368574;7100;4;;G';0.008910415;slip;3.42035E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;136000000;20.6064265;6800;4;;G';0.008560073;slip;3.40003E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;75000000;18.97868107;4800;6;;G';0;slip;2.21044E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;118000000;18.46497557;8200;5;;G';0.010392929;slip;3.67395E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;66000000;17.82312853;5100;6;;G';-0.000390991;slip;2.20559E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;87000000;17.75535932;6800;4;;G';0.005919827;slip;2.92961E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;69000000;16.59947697;6600;2;;G';0.006460905;slip;2.65833E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;200000000;19.78380715;11300;29;;G';0.007051844;slip;5.4245E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;290000000;16.31790503;29200;115;;G';0.031256213;slip;1.15616E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;298000000;20.89068888;14300;40;;G';0.022638794;slip;7.2487E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;137000000;18.41375938;9600;11;;G';0.01025671;slip;4.28928E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;117000000;18.19344733;8500;11;;G';0.005363956;slip;3.75236E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;361000000;18.13063974;26500;45;;G';0.110873631;slip;1.16582E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;9557000000;17.86918428;732800;15150;;G';101.3067622;slip;0.000317732;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;661000000;13.84789873;108900;282;;G';1.524089335;slip;3.65917E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;1052000000;15.84023958;115800;426;;G';2.036332467;slip;4.45083E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;776000000;17.02486905;68800;639;;G';0.275583627;slip;2.84213E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;1188000000;15.97453056;127500;1840;;G';0.85425513;slip;4.94207E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;3332000000;15.41980535;397600;10371;;G';15.68318817;slip;0.000148763;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;400000000;17.08350493;35100;120;;G';0.124400249;slip;1.45497E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;167000000;13.73457231;28200;51;;G';0.046410347;slip;9.398E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;128000000;15.95032905;13800;26;;G';0.004306153;slip;5.34097E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;228000000;19.15173777;14200;17;;G';0.032091199;slip;6.59884E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;135000000;19.39138976;8100;7;;G';0.009506898;slip;3.81123E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;159000000;18.96378414;10200;11;;G';0.014195604;slip;4.69349E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;575000000;18.58317621;39200;116;;G';0.239467547;slip;1.76757E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;72000000;15.4147813;8600;11;;G';-0.000911391;slip;3.21667E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;152000000;17.89731514;11600;15;;G';0.01430391;slip;5.03752E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;122000000;18.44900665;8500;8;;G';0.00868617;slip;3.80507E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;665000000;20.21865894;35200;135;;G';0.198761773;slip;1.7269E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;118000000;17.11358305;10300;9;;G';0.012240475;slip;4.2771E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;48000000;19.12931183;3000;2;;G';0.000348122;slip;1.39249E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;538000000;19.69714153;30800;107;;G';0.138865975;slip;1.47206E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;559000000;20.23901084;29500;84;;G';0.148376454;slip;1.44871E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;140000000;16.47385258;13700;12;;G';0.023430716;slip;5.47629E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;152000000;17.41073211;12600;14;;G';0.018826704;slip;5.32303E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;115000000;16.8588857;10500;9;;G';0.012465584;slip;4.29526E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;86000000;16.23047682;8800;4;;G';0.010413076;slip;3.46565E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;135000000;18.51866288;9300;8;;G';0.012002775;slip;4.17892E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;75000000;16.35533155;7500;8;;G';0.001637021;slip;2.9764E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;143000000;18.55080127;9800;12;;G';0.010509835;slip;4.41123E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;65000000;14.95629983;8500;4;;G';0.007415165;slip;3.08471E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;96000000;18.08549142;7100;4;;G';0.007166177;slip;3.11573E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;94000000;16.91332503;8500;8;;G';0.005919047;slip;3.48834E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;62000000;16.26833346;6300;3;;G';0.004223683;slip;2.48688E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;184000000;20.04158016;10000;10;;G';0.016386148;slip;4.86299E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;137000000;17.70482437;10800;12;;G';0.012862364;slip;4.63966E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;150000000;19.11233816;9400;9;;G';0.012641852;slip;4.35926E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;126000000;16.48723508;12300;12;;G';0.016203054;slip;4.92067E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;128000000;21.67413525;5500;3;;G';0.005920615;slip;2.89251E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;80000000;15.90436243;8700;7;;G';0.005791561;slip;3.35743E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;104000000;19.53861853;6100;4;;G';0.005483632;slip;2.89198E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;165000000;18.72218097;11000;12;;G';0.016581367;slip;4.99712E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;86000000;16.48411899;8400;5;;G';0.008251094;slip;3.35982E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;230000000;18.38217768;16200;46;;G';0.015174078;slip;7.22575E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;234000000;18.22926129;16900;32;;G';0.032498252;slip;7.47527E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;438000000;20.2432418;23100;75;;G';0.072765455;slip;1.13465E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;1352000000;21.68580684;58000;567;;G';0.501085429;slip;3.05193E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;553000000;21.17000705;25500;137;;G';0.069657069;slip;1.30988E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;293000000;17.08588654;25700;70;;G';0.060548214;slip;1.06547E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;289000000;19.55823823;16900;72;;G';0.007827368;slip;8.02024E-06;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;754000000;18.21317191;54600;428;;G';0.247830346;slip;2.41296E-05;Jost et al., 1998;Jost et al., 1998;Cornelio et al., 2020a;Cornelio et al., 2020a;tab 1;induced
;;1.39E+14;220;5720000;2080000000;;G';73469.95541;slip;0.030471814;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;4.65E+13;117;12700000;0;;G';228867.3427;slip;0.036042101;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;6.41E+12;119;1660000;89600000;;G';1972.288006;slip;0.004802783;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.97E+12;44.3;15000000;61000000;;G';110537.2193;slip;0.016057498;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.22E+12;53.5;3490000;3810000;;G';7468.100232;slip;0.004522527;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;1.5E+11;19.6;8720000;2320000;;G';16140.86991;slip;0.004142934;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;5.24E+11;35.1;5300000;3640000;;G';11018.4622;slip;0.004512798;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;3.95E+11;46;1770000;716000;;G';1645.177727;slip;0.001980662;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;5.29E+11;36.4;4810000;11700000;;G';7377.364627;slip;0.004236252;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.78E+11;26.5;6520000;761000;;G';13348.08919;slip;0.004200316;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
;;2.51E+11;23.1;8960000;1050000;;G';21732.87229;slip;0.004990897;Abercrombie & Rice, 2005;Abercrombie & Rice, 2005;Cocco et al., in prep.;Selvadurai, 2019;sm;natural
