name;machine;experiment;material;sample;fluid;method;type of energy;value (J/m^2);min (J/m^2);max (J/m^2);type of slip;value (m);min (m);max (m);normal stress (MPa);conf stress (MPa);pore press (MPa);stress drop (MPa);T (°C);peak slip velocity (m/s);Reference;Collection;Notes;Group;;;
776_3;rotary;flywheel;granite;saw-cut;;;E_T;627000;;;critical distance; ;;;1.9;;;;;0.26;Chang et al., 2012;;table s3;3;;;
781_1;rotary;flywheel;granite;saw-cut;;;E_T;546000;;;critical distance; ;;;2.1;;;;;0.25;Chang et al., 2012;;table s3;3;;;
781_2;rotary;flywheel;granite;saw-cut;;;E_T;567000;;;critical distance; ;;;2.1;;;;;0.25;Chang et al., 2012;;table s3;3;;;
782_1 ;rotary;flywheel;granite;saw-cut;;;E_T;609000;;;critical distance;0.012;;;2.1;;;;;0.27;Chang et al., 2012;;table s3;3;;;
1033;rotary;flywheel;dolomite;saw-cut;;;E_T;109800;;;critical distance;0.002;;;1.8;;;;;0.11;Chang et al., 2012;;table s4;3;;;
1034;rotary;flywheel;dolomite;saw-cut;;;E_T;208000;;;critical distance;0.012;;;1.6;;;;;0.15;Chang et al., 2012;;table s4;3;;;
1035;rotary;flywheel;dolomite;saw-cut;;;E_T;336000;;;critical distance;0.003;;;1.6;;;;;0.19;Chang et al., 2012;;table s4;3;;;
1037_1 ;rotary;flywheel;dolomite;saw-cut;;;E_T;205800;;;critical distance;0.004;;;2.1;;;;;0.15;Chang et al., 2012;;table s4;3;;;
1037_2 ;rotary;flywheel;dolomite;saw-cut;;;E_T;204600;;;critical distance;0.038;;;2.2;;;;;0.15;Chang et al., 2012;;table s4;3;;;
1038_1 ;rotary;flywheel;dolomite;saw-cut;;;E_T;252000;;;critical distance;0.006;;;2.1;;;;;0.17;Chang et al., 2012;;table s4;3;;;
1038_2 ;rotary;flywheel;dolomite;saw-cut;;;E_T;252000;;;critical distance;0.021;;;2.1;;;;;0.17;Chang et al., 2012;;table s4;3;;;
1038_3 ;rotary;flywheel;dolomite;saw-cut;;;E_T;24360;;;critical distance;0.004;;;2.9;;;;;0.09;Chang et al., 2012;;table s4;3;;;
1038_4 ;rotary;flywheel;dolomite;saw-cut;;;E_T;255000;;;critical distance;0.005;;;1.7;;;;;0.17;Chang et al., 2012;;table s4;3;;;
1051_1 ;rotary;flywheel;dolomite;saw-cut;;;E_T;216000;;;critical distance;0.003;;;1.8;;;;;0.15;Chang et al., 2012;;table s4;3;;;
1051_2 ;rotary;flywheel;dolomite;saw-cut;;;E_T;216000;;;critical distance;0.005;;;1.8;;;;;0.15;Chang et al., 2012;;table s4;3;;;
1052_1 ;rotary;flywheel;dolomite;saw-cut;;;E_T;342000;;;critical distance;0.009;;;1.8;;;;;0.19;Chang et al., 2012;;table s4;3;;;
1052_2 ;rotary;flywheel;dolomite;saw-cut;;;E_T;340000;;;critical distance;0.014;;;2;;;;;0.19;Chang et al., 2012;;table s4;3;;;
1053_1 ;rotary;flywheel;dolomite;saw-cut;;;E_T;480000;;;critical distance;0.03;;;2;;;;;0.23;Chang et al., 2012;;table s4;3;;;
1053_2 ;rotary;flywheel;dolomite;saw-cut;;;E_T;480000;;;critical distance;0.005;;;2;;;;;0.23;Chang et al., 2012;;table s4;3;;;
1054_1 ;rotary;flywheel;dolomite;saw-cut;;;E_T;484000;;;critical distance;0.027;;;2.2;;;;;0.23;Chang et al., 2012;;table s4;3;;;
1054_2 ;rotary;flywheel;dolomite;saw-cut;;;E_T;484000;;;critical distance;0.006;;;2.2;;;;;0.23;Chang et al., 2012;;table s4;3;;;
1055_1 ;rotary;flywheel;dolomite;saw-cut;;;E_T;682000;;;critical distance;0.002;;;2.2;;;;;0.27;Chang et al., 2012;;table s4;3;;;
1055_2 ;rotary;flywheel;dolomite;saw-cut;;;E_T;660000;;;critical distance;0.018;;;2.2;;;;;0.27;Chang et al., 2012;;table s4;3;;;
1056_1 ;rotary;flywheel;dolomite;saw-cut;;;E_T;1659000;;;critical distance;0.022;;;2.1;;;;;0.43;Chang et al., 2012;;table s4;3;;;
1057_1 ;rotary;flywheel;dolomite;saw-cut;;;E_T;2420000;;;critical distance;0.024;;;2.2;;;;;0.51;Chang et al., 2012;;table s4;3;;;
1058_1 ;rotary;flywheel;dolomite;saw-cut;;;E_T;5720000;;;critical distance;0.014;;;2.2;;;;;0.79;Chang et al., 2012;;table s4;3;;;
1059_1 ;rotary;flywheel;dolomite;saw-cut;;;E_T;5520000;;;critical distance;0.013;;;4.6;;;;;0.77;Chang et al., 2012;;table s4;3;;;
1060_1 ;rotary;flywheel;dolomite;saw-cut;;;E_T;2880000;;;critical distance;0.005;;;28.8;;;;;0.53;Chang et al., 2012;;table s4;3;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;0.208101473;;;D_c;1.17513E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;0.153765292;;;D_c;1.35402E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;0.395854817;;;D_c;1.74191E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;1.099177328;;;D_c;1.39733E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;2.090877273;;;D_c;1.21272E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;1.730585332;;;D_c;1.7147E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;2.171479065;;;D_c;1.61004E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;2.829732481;;;D_c;1.74191E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;5.805777255;;;D_c;2.97512E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;10.63393607;;;D_c;3.07029E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;14.39165976;;;D_c;2.97512E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;18.05816061;;;D_c;3.32175E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;34.35059718;;;D_c;4.41006E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;50.1424256;;;D_c;4.77125E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;44.76349882;;;D_c;3.59381E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;78.94608457;;;D_c;4.77125E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;174.7027715;;;D_c;4.77125E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;144.5986609;;;D_c;5.76347E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;88.4325014;;;D_c;8.67884E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;134.0633482;;;D_c;8.14913E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;219.2110403;;;D_c;7.53222E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;372.2561566;;;D_c;9.24298E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;586.0938251;;;D_c;7.89652E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;416.9876603;;;D_c;0.000115223;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;735.4104116;;;D_c;9.53866E-05;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;656.5207545;;;D_c;0.000165502;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
;triaxial;stick slip;granite;saw-cut;;;E_g;1033.650494;;;D_c;0.000122713;;;;;;;;;Passelegue et al., 2016a;;picked fig 19;2;;;
